ou-sarl-tpc;;;;;;
;ou-europe;;;;;
;;ou-France;;;;
;;;ou-perpignan;;;
;;;;gg-perpignan;;
;;;;ou-direction;;
;;;;;gg-direction;
;;;;-;user-pierre;
;;;-;ou-entretien;;
;;;;;gg-entretien;
;;;;-;user-paul;
;;;-;ou-secretariat;;
;;;;;gg-secretariat;
;;;;-;user-annie;
;;;-;ou-DL;;
;;;;-;dl-dossier-data-L-E;
;;;;-;dl-dossier-data-L;
;;;;;-;gg-perpignan
;;;;-;dl-dossier-data-X;
;;;;--;dl-dossier-commun-L-E;
;;;;;-;gg-perpignan
;;;;--;dl-dossier-commun-L;
;;;;--;dl-dossier-commun-X;
;;;;--;dl-dossier-direction-L-E;
;;;;--;dl-dossier-direction-L;
;;;;;-;gg-direction
;;;;;-;gg-secretariat
;;;;---;dl-dossier-direction-X;
;;;;---;dl-dossier-administratif-L-E;
;;;;;-;gg-secretariat
;;;;---;dl-dossier-administratif-L;
;;;;---;dl-dossier-administratif-X;
;;;;---;dl-dossier-Entretien_Personnel-L-E;
;;;;;-;gg-direction
;;;;;-;gg-secretariat
;;;;---;dl-dossier-Entretien_Personnel-L;
;;;;---;dl-dossier-Entretien_PersonnelX;
;;;;---;dl-dossier-compta-L-E;
;;;;;-;gg-secretariat
;;;;---;dl-dossier-compta-L;
;;;;---;dl-dossier-compta-X;
;;;;---;dl-dossier-facturation-L-E;
;;;;;-;gg-secretariat
;;;;---;dl-dossier-facturation-L;
;;;;---;dl-dossier-facturation-X;
;;;;----;dl-dossier-2021-L-E;
;;;;;-;gg-secretariat
;;;;----;dl-dossier-2021-L;
;;;;----;dl-dossier-2021-X;
;;;;----;dl-dossier-archive-L-E;
;;;;----;dl-dossier-archive-L;
;;;;;-;gg-direction
;;;;----;dl-dossier-archive-X;
;;;;----;dl-dossier-entretien-L-E;
;;;;;-;gg-direction
;;;;;-;gg-entretien
;;;;--;dl-dossier-entretien-L;
;;;;--;dl-dossier-entretien-X;
;;;;;;
;;;;--;dl-dossier-archive-L-E;
;;;;--;dl-dossier-archive-L;
;;;;;-;gg-perpignan
;;;;--;dl-dossier-archive-X;
